figura,formato,caminho,largura_pol,altura_pol,dpi,espaco_cor,bytes,md5
FIG1_mapa_evolucao_taxas_sih,png,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG1_mapa_evolucao_taxas_sih.png,7.5,9,500,RGB,574092,8c72db034418f39f2571309e707b8081
FIG1_mapa_evolucao_taxas_sih,tiff,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG1_mapa_evolucao_taxas_sih.tiff,7.5,9,500,RGB,1356356,5b6eb1919320a52c8de542825fec1c4a
FIG1_mapa_evolucao_taxas_sih,pdf,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG1_mapa_evolucao_taxas_sih.pdf,7.5,9,,vetorial/RGB,1903087,5bf3c10d832a4a74bdcca04d57b104e0
FIG2_mapa_evolucao_taxas_sim,png,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG2_mapa_evolucao_taxas_sim.png,7.5,8.5,500,RGB,547470,a8eb0695cafb74214da9a1421e3683e9
FIG2_mapa_evolucao_taxas_sim,tiff,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG2_mapa_evolucao_taxas_sim.tiff,7.5,8.5,500,RGB,1274286,5b87f367cb053d362412b1a9811a18df
FIG2_mapa_evolucao_taxas_sim,pdf,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG2_mapa_evolucao_taxas_sim.pdf,7.5,8.5,,vetorial/RGB,1784504,cc0fc629e84f1757b9eaa3dc4ee61e17
FIG3_mapa_calor_sazonalidade_mensal,png,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG3_mapa_calor_sazonalidade_mensal.png,7.5,6.5,500,RGB,122965,813c79c303895cf3f7d104b7e609173f
FIG3_mapa_calor_sazonalidade_mensal,tiff,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG3_mapa_calor_sazonalidade_mensal.tiff,7.5,6.5,500,RGB,1143164,66bd28d352181b45bd92adf14d95816c
FIG3_mapa_calor_sazonalidade_mensal,pdf,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG3_mapa_calor_sazonalidade_mensal.pdf,7.5,6.5,,vetorial/RGB,35098,1a3ba593fb76b528bf8f704dad964b5b
FIG4_series_anuais_sih_sim,png,C:/Users/oorie/OneDrive/Documentos/TRABALHOS/artigo-morbimortalidade-avc-rj/results/figures/publication/FIG4_series_anuais_sih_sim.png,7.5,5.5,500,RGB,55815,ef1efbc9a341540a63b066a3a744bad6
