year,month,filename,status,checked_at_utc
2010,1,RDRJ1001.DBC,disponivel,2026-07-16T23:08:48Z
2011,1,RDRJ1101.DBC,disponivel,2026-07-16T23:08:48Z
2012,1,RDRJ1201.DBC,disponivel,2026-07-16T23:08:48Z
2013,1,RDRJ1301.DBC,disponivel,2026-07-16T23:08:48Z
2014,1,RDRJ1401.DBC,disponivel,2026-07-16T23:08:48Z
2015,1,RDRJ1501.DBC,disponivel,2026-07-16T23:08:48Z
2016,1,RDRJ1601.DBC,disponivel,2026-07-16T23:08:48Z
2017,1,RDRJ1701.DBC,disponivel,2026-07-16T23:08:48Z
2018,1,RDRJ1801.DBC,disponivel,2026-07-16T23:08:48Z
2019,1,RDRJ1901.DBC,disponivel,2026-07-16T23:08:48Z
2020,1,RDRJ2001.DBC,disponivel,2026-07-16T23:08:48Z
2021,1,RDRJ2101.DBC,disponivel,2026-07-16T23:08:48Z
2022,1,RDRJ2201.DBC,disponivel,2026-07-16T23:08:48Z
2023,1,RDRJ2301.DBC,disponivel,2026-07-16T23:08:48Z
2024,1,RDRJ2401.DBC,disponivel,2026-07-16T23:08:48Z
2025,1,RDRJ2501.DBC,disponivel,2026-07-16T23:08:48Z
2010,2,RDRJ1002.DBC,disponivel,2026-07-16T23:08:48Z
2011,2,RDRJ1102.DBC,disponivel,2026-07-16T23:08:48Z
2012,2,RDRJ1202.DBC,disponivel,2026-07-16T23:08:48Z
2013,2,RDRJ1302.DBC,disponivel,2026-07-16T23:08:48Z
2014,2,RDRJ1402.DBC,disponivel,2026-07-16T23:08:48Z
2015,2,RDRJ1502.DBC,disponivel,2026-07-16T23:08:48Z
2016,2,RDRJ1602.DBC,disponivel,2026-07-16T23:08:48Z
2017,2,RDRJ1702.DBC,disponivel,2026-07-16T23:08:48Z
2018,2,RDRJ1802.DBC,disponivel,2026-07-16T23:08:48Z
2019,2,RDRJ1902.DBC,disponivel,2026-07-16T23:08:48Z
2020,2,RDRJ2002.DBC,disponivel,2026-07-16T23:08:48Z
2021,2,RDRJ2102.DBC,disponivel,2026-07-16T23:08:48Z
2022,2,RDRJ2202.DBC,disponivel,2026-07-16T23:08:48Z
2023,2,RDRJ2302.DBC,disponivel,2026-07-16T23:08:48Z
2024,2,RDRJ2402.DBC,disponivel,2026-07-16T23:08:48Z
2025,2,RDRJ2502.DBC,disponivel,2026-07-16T23:08:48Z
2010,3,RDRJ1003.DBC,disponivel,2026-07-16T23:08:48Z
2011,3,RDRJ1103.DBC,disponivel,2026-07-16T23:08:48Z
2012,3,RDRJ1203.DBC,disponivel,2026-07-16T23:08:48Z
2013,3,RDRJ1303.DBC,disponivel,2026-07-16T23:08:48Z
2014,3,RDRJ1403.DBC,disponivel,2026-07-16T23:08:48Z
2015,3,RDRJ1503.DBC,disponivel,2026-07-16T23:08:48Z
2016,3,RDRJ1603.DBC,disponivel,2026-07-16T23:08:48Z
2017,3,RDRJ1703.DBC,disponivel,2026-07-16T23:08:48Z
2018,3,RDRJ1803.DBC,disponivel,2026-07-16T23:08:48Z
2019,3,RDRJ1903.DBC,disponivel,2026-07-16T23:08:48Z
2020,3,RDRJ2003.DBC,disponivel,2026-07-16T23:08:48Z
2021,3,RDRJ2103.DBC,disponivel,2026-07-16T23:08:48Z
2022,3,RDRJ2203.DBC,disponivel,2026-07-16T23:08:48Z
2023,3,RDRJ2303.DBC,disponivel,2026-07-16T23:08:48Z
2024,3,RDRJ2403.DBC,disponivel,2026-07-16T23:08:48Z
2025,3,RDRJ2503.DBC,disponivel,2026-07-16T23:08:48Z
2010,4,RDRJ1004.DBC,disponivel,2026-07-16T23:08:48Z
2011,4,RDRJ1104.DBC,disponivel,2026-07-16T23:08:48Z
2012,4,RDRJ1204.DBC,disponivel,2026-07-16T23:08:48Z
2013,4,RDRJ1304.DBC,disponivel,2026-07-16T23:08:48Z
2014,4,RDRJ1404.DBC,disponivel,2026-07-16T23:08:48Z
2015,4,RDRJ1504.DBC,disponivel,2026-07-16T23:08:48Z
2016,4,RDRJ1604.DBC,disponivel,2026-07-16T23:08:48Z
2017,4,RDRJ1704.DBC,disponivel,2026-07-16T23:08:48Z
2018,4,RDRJ1804.DBC,disponivel,2026-07-16T23:08:48Z
2019,4,RDRJ1904.DBC,disponivel,2026-07-16T23:08:48Z
2020,4,RDRJ2004.DBC,disponivel,2026-07-16T23:08:48Z
2021,4,RDRJ2104.DBC,disponivel,2026-07-16T23:08:48Z
2022,4,RDRJ2204.DBC,disponivel,2026-07-16T23:08:48Z
2023,4,RDRJ2304.DBC,disponivel,2026-07-16T23:08:48Z
