variable,n_missing,proportion_missing
UF_ZI,0,0
ANO_CMPT,0,0
MES_CMPT,0,0
ESPEC,0,0
CGC_HOSP,96657,0.328698224852071
N_AIH,0,0
IDENT,0,0
CEP,0,0
MUNIC_RES,0,0
NASC,0,0
SEXO,0,0
UTI_MES_IN,0,0
UTI_MES_AN,0,0
UTI_MES_AL,0,0
UTI_MES_TO,0,0
MARCA_UTI,0,0
UTI_INT_IN,0,0
UTI_INT_AN,0,0
UTI_INT_AL,0,0
UTI_INT_TO,0,0
DIAR_ACOM,0,0
QT_DIARIAS,0,0
PROC_SOLIC,0,0
PROC_REA,0,0
VAL_SH,0,0
VAL_SP,0,0
VAL_SADT,0,0
VAL_RN,0,0
VAL_ACOMP,0,0
VAL_ORTP,0,0
VAL_SANGUE,0,0
VAL_SADTSR,0,0
VAL_TRANSP,0,0
VAL_OBSANG,0,0
VAL_PED1AC,0,0
VAL_TOT,0,0
VAL_UTI,0,0
US_TOT,0,0
DT_INTER,0,0
DT_SAIDA,0,0
DIAG_PRINC,0,0
DIAG_SECUN,69411,0.23604366455825343
COBRANCA,0,0
NATUREZA,0,0
GESTAO,0,0
RUBRICA,0,0
IND_VDRL,0,0
MUNIC_MOV,0,0
COD_IDADE,1,3.4006665306400056e-6
IDADE,0,0
DIAS_PERM,0,0
MORTE,0,0
NACIONAL,0,0
NUM_PROC,294060,1
CAR_INT,0,0
TOT_PT_SP,0,0
CPF_AUT,294060,1
HOMONIMO,0,0
NUM_FILHOS,0,0
INSTRU,294059,0.9999965993334694
CID_NOTIF,294059,0.9999965993334694
CONTRACEP1,0,0
CONTRACEP2,0,0
GESTRISCO,0,0
INSC_PN,0,0
SEQ_AIH5,0,0
CBOR,293967,0.9996837380126504
CNAER,0,0
VINCPREV,293967,0.9996837380126504
GESTOR_COD,31580,0.10739304903761138
GESTOR_TP,0,0
GESTOR_CPF,0,0
GESTOR_DT,294060,1
CNES,0,0
CNPJ_MANT,92053,0.3130415561450044
INFEHOSP,294060,1
CID_ASSO,76332,0.2595796776168129
CID_MORTE,63191,0.2148915187376726
COMPLEX,0,0
FINANC,0,0
FAEC_TP,289934,0.9859688498945793
REGCT,0,0
RACA_COR,69096,0.2349724546011018
ETNIA,12021,0.04087941236482351
SEQUENCIA,0,0
REMESSA,0,0
source,0,0
ano,0,0
mes,0,0
municipio_residencia,0,0
municipio_internacao,0,0
sexo,0,0
idade_anos,0,0
raca_cor,69096,0.2349724546011018
diagnostico_principal,0,0
diagnostico_secundario,69411,0.23604366455825343
dias_permanencia,0,0
valor_internacao,0,0
carater_atendimento,0,0
obito_hospitalar,0,0
NAT_JUR,38049,0.12939196082432156
AUD_JUST,280253,0.9530469972114535
SIS_JUST,280309,0.9532374345371692
VAL_SH_FED,15930,0.054172617833095286
VAL_SP_FED,15930,0.054172617833095286
VAL_SH_GES,15930,0.054172617833095286
VAL_SP_GES,15930,0.054172617833095286
VAL_UCI,47413,0.16123580221723458
MARCA_UCI,47413,0.16123580221723458
DIAGSEC1,265253,0.9020369992518533
DIAGSEC2,286402,0.9739576957083589
DIAGSEC3,291154,0.9901176630619601
DIAGSEC4,292899,0.996051826157927
DIAGSEC5,293653,0.9986159287220295
DIAGSEC6,293891,0.9994252873563219
DIAGSEC7,294001,0.9997993606746922
DIAGSEC8,294055,0.9999829966673468
DIAGSEC9,294060,1
TPDISEC1,265253,0.9020369992518533
TPDISEC2,286402,0.9739576957083589
TPDISEC3,291154,0.9901176630619601
TPDISEC4,292899,0.996051826157927
TPDISEC5,293653,0.9986159287220295
TPDISEC6,293891,0.9994252873563219
TPDISEC7,294001,0.9997993606746922
TPDISEC8,294055,0.9999829966673468
TPDISEC9,294060,1
FONTE_ORC,274914,0.9348908386043665
