ano,mes,n
2010,1,1213
2010,2,1357
2010,3,1414
2010,4,1331
2010,5,1309
2010,6,1199
2010,7,1404
2010,8,1436
2010,9,1358
2010,10,1347
2010,11,1278
2010,12,1284
2011,1,1240
2011,2,1202
2011,3,1273
2011,4,1296
2011,5,1322
2011,6,1297
2011,7,1441
2011,8,1293
2011,9,1353
2011,10,1314
2011,11,1364
2011,12,1255
2012,1,1286
2012,2,1277
2012,3,1258
2012,4,1272
2012,5,1349
2012,6,1431
2012,7,1443
2012,8,1432
2012,9,1399
2012,10,1328
2012,11,1235
2012,12,1123
2013,1,1284
2013,2,1124
2013,3,1252
2013,4,1231
2013,5,1253
2013,6,1278
2013,7,1368
2013,8,1401
2013,9,1330
2013,10,1371
2013,11,1314
2013,12,1203
2014,1,1285
2014,2,1281
2014,3,1221
2014,4,1222
2014,5,1188
2014,6,1207
2014,7,1433
2014,8,1371
2014,9,1376
2014,10,1445
2014,11,1359
2014,12,1310
2015,1,1351
2015,2,1217
2015,3,1282
2015,4,1365
2015,5,1307
2015,6,1361
2015,7,1493
2015,8,1476
2015,9,1404
2015,10,1358
2015,11,1414
2015,12,1262
2016,1,1368
2016,2,1319
2016,3,1404
2016,4,1399
2016,5,1271
2016,6,1387
2016,7,1335
2016,8,1425
2016,9,1516
2016,10,1377
2016,11,1391
2016,12,1307
2017,1,1335
2017,2,1363
2017,3,1313
2017,4,1344
2017,5,1389
2017,6,1512
2017,7,1637
2017,8,1651
2017,9,1412
2017,10,1589
2017,11,1544
2017,12,1478
2018,1,1596
2018,2,1426
2018,3,1439
2018,4,1438
2018,5,1607
2018,6,1643
2018,7,1776
2018,8,1771
2018,9,1608
2018,10,1579
2018,11,1635
2018,12,1537
2019,1,1626
2019,2,1461
2019,3,1573
2019,4,1418
2019,5,1602
2019,6,1615
2019,7,1731
2019,8,1680
2019,9,1605
2019,10,1624
2019,11,1597
2019,12,1658
2020,1,1564
2020,2,1461
2020,3,1390
2020,4,1269
2020,5,1468
2020,6,1433
2020,7,1687
2020,8,1731
2020,9,1499
2020,10,1594
2020,11,1484
2020,12,1354
2021,1,1435
2021,2,1338
2021,3,1412
2021,4,1371
2021,5,1497
2021,6,1581
2021,7,1679
2021,8,1681
2021,9,1745
2021,10,1771
2021,11,1689
2021,12,1705
2022,1,1655
2022,2,1424
2022,3,1668
2022,4,1657
2022,5,1891
2022,6,1876
2022,7,1985
2022,8,2067
2022,9,2126
2022,10,1983
2022,11,1869
2022,12,1894
2023,1,1934
2023,2,1744
2023,3,2019
2023,4,1891
2023,5,1959
2023,6,2022
2023,7,2047
2023,8,2002
2023,9,2053
2023,10,1979
2023,11,1912
2023,12,1861
2024,1,1881
2024,2,1793
2024,3,1831
2024,4,1719
2024,5,1707
2024,6,1802
2024,7,1924
2024,8,1872
2024,9,1878
2024,10,1737
2024,11,1844
2024,12,1651
2025,1,1989
2025,2,1809
2025,3,1654
2025,4,1810
2025,5,1937
2025,6,2047
2025,7,1987
2025,8,2127
2025,9,1981
2025,10,1952
2025,11,1783
2025,12,1868
