ano,faixa_etaria,n
2010,<1,7
2011,<1,13
2012,<1,9
2013,<1,19
2014,<1,10
2015,<1,9
2016,<1,11
2017,<1,19
2018,<1,2
2019,<1,8
2020,<1,17
2021,<1,30
2022,<1,25
2023,<1,26
2024,<1,20
2025,<1,19
2010,1-19,82
2011,1-19,98
2012,1-19,134
2013,1-19,154
2014,1-19,144
2015,1-19,123
2016,1-19,109
2017,1-19,135
2018,1-19,143
2019,1-19,144
2020,1-19,135
2021,1-19,141
2022,1-19,164
2023,1-19,194
2024,1-19,206
2025,1-19,225
2010,20-39,570
2011,20-39,568
2012,20-39,586
2013,20-39,630
2014,20-39,619
2015,20-39,661
2016,20-39,644
2017,20-39,736
2018,20-39,756
2019,20-39,810
2020,20-39,719
2021,20-39,714
2022,20-39,882
2023,20-39,924
2024,20-39,906
2025,20-39,1007
2010,40-59,4460
2011,40-59,4371
2012,40-59,4335
2013,40-59,4139
2014,40-59,4253
2015,40-59,4185
2016,40-59,4179
2017,40-59,4538
2018,40-59,4885
2019,40-59,4975
2020,40-59,4669
2021,40-59,4827
2022,40-59,5557
2023,40-59,5860
2024,40-59,5356
2025,40-59,5479
2010,60-79,8152
2011,60-79,7900
2012,60-79,8160
2013,60-79,7863
2014,60-79,8002
2015,60-79,8371
2016,60-79,8530
2017,60-79,9080
2018,60-79,9940
2019,60-79,9942
2020,60-79,9322
2021,60-79,9813
2022,60-79,11628
2023,60-79,12405
2024,60-79,11391
2025,60-79,12304
2010,80+,2609
2011,80+,2645
2012,80+,2570
2013,80+,2536
2014,80+,2617
2015,80+,2904
2016,80+,2970
2017,80+,2972
2018,80+,3218
2019,80+,3218
2020,80+,2993
2021,80+,3304
2022,80+,3776
2023,80+,3948
2024,80+,3667
2025,80+,3827
