ano,regiao_saude,n
2010,Baía da Ilha Grande,193
2011,Baía da Ilha Grande,194
2012,Baía da Ilha Grande,217
2013,Baía da Ilha Grande,211
2014,Baía da Ilha Grande,240
2015,Baía da Ilha Grande,154
2016,Baía da Ilha Grande,220
2017,Baía da Ilha Grande,228
2018,Baía da Ilha Grande,269
2019,Baía da Ilha Grande,378
2020,Baía da Ilha Grande,336
2021,Baía da Ilha Grande,328
2022,Baía da Ilha Grande,479
2023,Baía da Ilha Grande,471
2024,Baía da Ilha Grande,467
2025,Baía da Ilha Grande,532
2010,Baixada Litorânea,375
2011,Baixada Litorânea,466
2012,Baixada Litorânea,472
2013,Baixada Litorânea,411
2014,Baixada Litorânea,415
2015,Baixada Litorânea,419
2016,Baixada Litorânea,440
2017,Baixada Litorânea,489
2018,Baixada Litorânea,617
2019,Baixada Litorânea,600
2020,Baixada Litorânea,573
2021,Baixada Litorânea,649
2022,Baixada Litorânea,788
2023,Baixada Litorânea,1009
2024,Baixada Litorânea,991
2025,Baixada Litorânea,1030
2010,Centro-Sul,479
2011,Centro-Sul,512
2012,Centro-Sul,535
2013,Centro-Sul,550
2014,Centro-Sul,457
2015,Centro-Sul,515
2016,Centro-Sul,599
2017,Centro-Sul,596
2018,Centro-Sul,732
2019,Centro-Sul,749
2020,Centro-Sul,578
2021,Centro-Sul,622
2022,Centro-Sul,631
2023,Centro-Sul,698
2024,Centro-Sul,712
2025,Centro-Sul,682
2010,Médio Paraíba,993
2011,Médio Paraíba,1057
2012,Médio Paraíba,1150
2013,Médio Paraíba,1323
2014,Médio Paraíba,1209
2015,Médio Paraíba,1200
2016,Médio Paraíba,1359
2017,Médio Paraíba,1527
2018,Médio Paraíba,1712
2019,Médio Paraíba,2085
2020,Médio Paraíba,1934
2021,Médio Paraíba,1949
2022,Médio Paraíba,2439
2023,Médio Paraíba,2498
2024,Médio Paraíba,2564
2025,Médio Paraíba,2511
2010,Metropolitana I,7860
2011,Metropolitana I,7292
2012,Metropolitana I,7125
2013,Metropolitana I,7364
2014,Metropolitana I,8043
2015,Metropolitana I,8708
2016,Metropolitana I,8257
2017,Metropolitana I,8338
2018,Metropolitana I,9133
2019,Metropolitana I,8899
2020,Metropolitana I,8256
2021,Metropolitana I,8944
2022,Metropolitana I,9903
2023,Metropolitana I,10317
2024,Metropolitana I,8743
2025,Metropolitana I,9386
2010,Metropolitana II,2065
2011,Metropolitana II,2219
2012,Metropolitana II,2428
2013,Metropolitana II,2063
2014,Metropolitana II,1896
2015,Metropolitana II,1892
2016,Metropolitana II,2178
2017,Metropolitana II,2787
2018,Metropolitana II,2973
2019,Metropolitana II,2884
2020,Metropolitana II,3008
2021,Metropolitana II,3330
2022,Metropolitana II,3872
2023,Metropolitana II,4031
2024,Metropolitana II,3905
2025,Metropolitana II,4687
2010,Noroeste,720
2011,Noroeste,724
2012,Noroeste,721
2013,Noroeste,680
2014,Noroeste,663
2015,Noroeste,619
2016,Noroeste,602
2017,Noroeste,588
2018,Noroeste,632
2019,Noroeste,712
2020,Noroeste,605
2021,Noroeste,622
2022,Noroeste,667
2023,Noroeste,676
2024,Noroeste,666
2025,Noroeste,714
2010,Norte,682
2011,Norte,710
2012,Norte,673
2013,Norte,672
2014,Norte,634
2015,Norte,607
2016,Norte,763
2017,Norte,812
2018,Norte,854
2019,Norte,883
2020,Norte,779
2021,Norte,862
2022,Norte,1400
2023,Norte,1841
2024,Norte,1836
2025,Norte,1696
2010,Serrana,2513
2011,Serrana,2421
2012,Serrana,2473
2013,Serrana,2067
2014,Serrana,2088
2015,Serrana,2139
2016,Serrana,2025
2017,Serrana,2115
2018,Serrana,2022
2019,Serrana,1907
2020,Serrana,1786
2021,Serrana,1523
2022,Serrana,1853
2023,Serrana,1816
2024,Serrana,1662
2025,Serrana,1623
