ano,faixa_etaria,n
2010,1-19,22
2011,1-19,25
2012,1-19,26
2013,1-19,31
2014,1-19,25
2015,1-19,35
2016,1-19,30
2017,1-19,24
2018,1-19,18
2019,1-19,26
2020,1-19,14
2021,1-19,22
2022,1-19,23
2023,1-19,20
2024,1-19,27
2010,20-39,206
2011,20-39,194
2012,20-39,214
2013,20-39,217
2014,20-39,172
2015,20-39,211
2016,20-39,225
2017,20-39,214
2018,20-39,177
2019,20-39,192
2020,20-39,173
2021,20-39,193
2022,20-39,218
2023,20-39,157
2024,20-39,203
2010,40-59,1944
2011,40-59,1875
2012,40-59,1829
2013,40-59,1778
2014,40-59,1692
2015,40-59,1535
2016,40-59,1633
2017,40-59,1649
2018,40-59,1639
2019,40-59,1545
2020,40-59,1546
2021,40-59,1708
2022,40-59,1652
2023,40-59,1613
2024,40-59,1597
2010,60-79,4980
2011,60-79,4739
2012,60-79,4788
2013,60-79,4694
2014,60-79,4511
2015,60-79,4380
2016,60-79,4698
2017,60-79,4561
2018,60-79,4600
2019,60-79,4655
2020,60-79,4535
2021,60-79,4850
2022,60-79,4989
2023,60-79,5020
2024,60-79,5013
2010,80+,3409
2011,80+,3350
2012,80+,3145
2013,80+,3239
2014,80+,3184
2015,80+,3026
2016,80+,3267
2017,80+,3102
2018,80+,3119
2019,80+,3158
2020,80+,2923
2021,80+,3258
2022,80+,3258
2023,80+,3097
2024,80+,3195
2010,Ignorado/ausente,18
2011,Ignorado/ausente,36
2012,Ignorado/ausente,15
2013,Ignorado/ausente,21
2014,Ignorado/ausente,33
2015,Ignorado/ausente,12
2016,Ignorado/ausente,19
2017,Ignorado/ausente,15
2018,Ignorado/ausente,13
2019,Ignorado/ausente,12
2020,Ignorado/ausente,13
2021,Ignorado/ausente,8
2022,Ignorado/ausente,5
2023,Ignorado/ausente,10
2024,Ignorado/ausente,9
