ano,nome_municipio,n
2010,Angra dos Reis,75
2011,Angra dos Reis,76
2012,Angra dos Reis,75
2013,Angra dos Reis,69
2014,Angra dos Reis,81
2015,Angra dos Reis,91
2016,Angra dos Reis,70
2017,Angra dos Reis,86
2018,Angra dos Reis,63
2019,Angra dos Reis,73
2020,Angra dos Reis,70
2021,Angra dos Reis,84
2022,Angra dos Reis,81
2023,Angra dos Reis,87
2024,Angra dos Reis,97
2010,Aperibé,3
2011,Aperibé,12
2012,Aperibé,8
2013,Aperibé,11
2014,Aperibé,8
2015,Aperibé,13
2016,Aperibé,6
2017,Aperibé,5
2018,Aperibé,8
2019,Aperibé,7
2020,Aperibé,4
2021,Aperibé,4
2022,Aperibé,9
2023,Aperibé,6
2024,Aperibé,7
2010,Araruama,85
2011,Araruama,71
2012,Araruama,66
2013,Araruama,108
2014,Araruama,104
2015,Araruama,88
2016,Araruama,87
2017,Araruama,80
2018,Araruama,60
2019,Araruama,73
2020,Araruama,69
2021,Araruama,82
2022,Araruama,77
2023,Araruama,68
2024,Araruama,100
2010,Areal,9
2011,Areal,8
2012,Areal,4
2013,Areal,3
2014,Areal,6
2015,Areal,7
2016,Areal,2
2017,Areal,11
2018,Areal,5
2019,Areal,9
2020,Areal,3
2021,Areal,9
2022,Areal,7
2023,Areal,2
2024,Areal,9
2010,Armação dos Búzios,11
2011,Armação dos Búzios,9
2012,Armação dos Búzios,9
2013,Armação dos Búzios,13
2014,Armação dos Búzios,7
2015,Armação dos Búzios,13
2016,Armação dos Búzios,12
2017,Armação dos Búzios,17
2018,Armação dos Búzios,21
2019,Armação dos Búzios,16
2020,Armação dos Búzios,13
2021,Armação dos Búzios,18
2022,Armação dos Búzios,14
2023,Armação dos Búzios,20
2024,Armação dos Búzios,15
2010,Arraial do Cabo,14
2011,Arraial do Cabo,15
2012,Arraial do Cabo,16
2013,Arraial do Cabo,15
2014,Arraial do Cabo,13
2015,Arraial do Cabo,13
2016,Arraial do Cabo,17
2017,Arraial do Cabo,16
2018,Arraial do Cabo,21
2019,Arraial do Cabo,19
2020,Arraial do Cabo,14
2021,Arraial do Cabo,22
2022,Arraial do Cabo,25
2023,Arraial do Cabo,13
2024,Arraial do Cabo,20
2010,Barra do Piraí,66
2011,Barra do Piraí,86
2012,Barra do Piraí,101
2013,Barra do Piraí,84
2014,Barra do Piraí,87
2015,Barra do Piraí,93
2016,Barra do Piraí,111
2017,Barra do Piraí,88
2018,Barra do Piraí,87
2019,Barra do Piraí,98
2020,Barra do Piraí,72
2021,Barra do Piraí,80
2022,Barra do Piraí,96
2023,Barra do Piraí,92
2024,Barra do Piraí,74
2010,Barra Mansa,143
2011,Barra Mansa,117
2012,Barra Mansa,107
2013,Barra Mansa,133
2014,Barra Mansa,132
2015,Barra Mansa,116
2016,Barra Mansa,118
2017,Barra Mansa,151
2018,Barra Mansa,127
2019,Barra Mansa,144
2020,Barra Mansa,137
2021,Barra Mansa,122
2022,Barra Mansa,135
2023,Barra Mansa,119
2024,Barra Mansa,114
2010,Belford Roxo,264
2011,Belford Roxo,223
2012,Belford Roxo,272
2013,Belford Roxo,221
2014,Belford Roxo,217
2015,Belford Roxo,204
2016,Belford Roxo,233
2017,Belford Roxo,260
2018,Belford Roxo,225
2019,Belford Roxo,242
2020,Belford Roxo,216
2021,Belford Roxo,214
2022,Belford Roxo,229
2023,Belford Roxo,254
2024,Belford Roxo,253
2010,Bom Jardim,20
2011,Bom Jardim,19
2012,Bom Jardim,26
2013,Bom Jardim,21
2014,Bom Jardim,20
2015,Bom Jardim,23
2016,Bom Jardim,18
2017,Bom Jardim,22
2018,Bom Jardim,26
2019,Bom Jardim,14
2020,Bom Jardim,14
2021,Bom Jardim,16
2022,Bom Jardim,19
2023,Bom Jardim,13
2024,Bom Jardim,15
2010,Bom Jesus do Itabapoana,33
2011,Bom Jesus do Itabapoana,35
2012,Bom Jesus do Itabapoana,24
2013,Bom Jesus do Itabapoana,35
2014,Bom Jesus do Itabapoana,27
2015,Bom Jesus do Itabapoana,26
2016,Bom Jesus do Itabapoana,31
2017,Bom Jesus do Itabapoana,32
2018,Bom Jesus do Itabapoana,23
2019,Bom Jesus do Itabapoana,39
2020,Bom Jesus do Itabapoana,18
2021,Bom Jesus do Itabapoana,27
2022,Bom Jesus do Itabapoana,19
2023,Bom Jesus do Itabapoana,22
2024,Bom Jesus do Itabapoana,19
2010,Cabo Frio,99
2011,Cabo Frio,96
2012,Cabo Frio,96
2013,Cabo Frio,98
2014,Cabo Frio,92
2015,Cabo Frio,74
2016,Cabo Frio,85
2017,Cabo Frio,81
2018,Cabo Frio,78
2019,Cabo Frio,79
2020,Cabo Frio,100
2021,Cabo Frio,93
2022,Cabo Frio,106
2023,Cabo Frio,96
2024,Cabo Frio,118
2010,Cachoeiras de Macacu,31
2011,Cachoeiras de Macacu,35
2012,Cachoeiras de Macacu,31
2013,Cachoeiras de Macacu,34
2014,Cachoeiras de Macacu,47
2015,Cachoeiras de Macacu,35
2016,Cachoeiras de Macacu,33
2017,Cachoeiras de Macacu,34
2018,Cachoeiras de Macacu,31
2019,Cachoeiras de Macacu,30
2020,Cachoeiras de Macacu,14
2021,Cachoeiras de Macacu,30
2022,Cachoeiras de Macacu,38
2023,Cachoeiras de Macacu,35
2024,Cachoeiras de Macacu,51
2010,Cambuci,7
2011,Cambuci,13
2012,Cambuci,17
2013,Cambuci,10
2014,Cambuci,9
2015,Cambuci,11
2016,Cambuci,9
2017,Cambuci,11
2018,Cambuci,4
2019,Cambuci,8
2020,Cambuci,15
2021,Cambuci,5
2022,Cambuci,15
2023,Cambuci,4
2024,Cambuci,4
2010,Campos dos Goytacazes,374
2011,Campos dos Goytacazes,357
2012,Campos dos Goytacazes,315
2013,Campos dos Goytacazes,329
2014,Campos dos Goytacazes,302
2015,Campos dos Goytacazes,323
2016,Campos dos Goytacazes,319
2017,Campos dos Goytacazes,302
2018,Campos dos Goytacazes,331
2019,Campos dos Goytacazes,347
2020,Campos dos Goytacazes,315
2021,Campos dos Goytacazes,331
2022,Campos dos Goytacazes,385
2023,Campos dos Goytacazes,345
2024,Campos dos Goytacazes,310
2010,Cantagalo,15
2011,Cantagalo,11
2012,Cantagalo,12
2013,Cantagalo,9
2014,Cantagalo,12
2015,Cantagalo,13
2016,Cantagalo,11
2017,Cantagalo,9
2018,Cantagalo,13
2019,Cantagalo,11
2020,Cantagalo,15
2021,Cantagalo,8
2022,Cantagalo,10
2023,Cantagalo,10
2024,Cantagalo,11
2010,Carapebus,6
2011,Carapebus,8
2012,Carapebus,5
2013,Carapebus,4
