ano,regiao_saude,n
2010,Baía da Ilha Grande,113
2011,Baía da Ilha Grande,107
2012,Baía da Ilha Grande,111
2013,Baía da Ilha Grande,95
2014,Baía da Ilha Grande,112
2015,Baía da Ilha Grande,120
2016,Baía da Ilha Grande,123
2017,Baía da Ilha Grande,124
2018,Baía da Ilha Grande,110
2019,Baía da Ilha Grande,115
2020,Baía da Ilha Grande,113
2021,Baía da Ilha Grande,130
2022,Baía da Ilha Grande,124
2023,Baía da Ilha Grande,125
2024,Baía da Ilha Grande,150
2010,Baixada Litorânea,385
2011,Baixada Litorânea,383
2012,Baixada Litorânea,357
2013,Baixada Litorânea,396
2014,Baixada Litorânea,398
2015,Baixada Litorânea,364
2016,Baixada Litorânea,373
2017,Baixada Litorânea,371
2018,Baixada Litorânea,340
2019,Baixada Litorânea,354
2020,Baixada Litorânea,370
2021,Baixada Litorânea,422
2022,Baixada Litorânea,404
2023,Baixada Litorânea,399
2024,Baixada Litorânea,491
2010,Centro-Sul,213
2011,Centro-Sul,224
2012,Centro-Sul,180
2013,Centro-Sul,208
2014,Centro-Sul,192
2015,Centro-Sul,183
2016,Centro-Sul,193
2017,Centro-Sul,216
2018,Centro-Sul,199
2019,Centro-Sul,207
2020,Centro-Sul,172
2021,Centro-Sul,204
2022,Centro-Sul,191
2023,Centro-Sul,170
2024,Centro-Sul,180
2010,Ignorado/ausente,19
2011,Ignorado/ausente,42
2012,Ignorado/ausente,21
2013,Ignorado/ausente,23
2014,Ignorado/ausente,26
2015,Ignorado/ausente,14
2016,Ignorado/ausente,18
2017,Ignorado/ausente,12
2018,Ignorado/ausente,11
2019,Ignorado/ausente,14
2020,Ignorado/ausente,24
2021,Ignorado/ausente,24
2022,Ignorado/ausente,13
2023,Ignorado/ausente,16
2024,Ignorado/ausente,15
2010,Médio Paraíba,590
2011,Médio Paraíba,595
2012,Médio Paraíba,570
2013,Médio Paraíba,596
2014,Médio Paraíba,594
2015,Médio Paraíba,542
2016,Médio Paraíba,582
2017,Médio Paraíba,606
2018,Médio Paraíba,607
2019,Médio Paraíba,605
2020,Médio Paraíba,579
2021,Médio Paraíba,548
2022,Médio Paraíba,616
2023,Médio Paraíba,581
2024,Médio Paraíba,572
2010,Metropolitana I,6451
2011,Metropolitana I,6079
2012,Metropolitana I,6046
2013,Metropolitana I,5868
2014,Metropolitana I,5644
2015,Metropolitana I,5476
2016,Metropolitana I,5794
2017,Metropolitana I,5557
2018,Metropolitana I,5540
2019,Metropolitana I,5516
2020,Metropolitana I,5365
2021,Metropolitana I,5979
2022,Metropolitana I,5877
2023,Metropolitana I,5939
2024,Metropolitana I,6025
2010,Metropolitana II,1402
2011,Metropolitana II,1396
2012,Metropolitana II,1415
2013,Metropolitana II,1389
2014,Metropolitana II,1315
2015,Metropolitana II,1262
2016,Metropolitana II,1414
2017,Metropolitana II,1397
2018,Metropolitana II,1434
2019,Metropolitana II,1360
2020,Metropolitana II,1375
2021,Metropolitana II,1518
2022,Metropolitana II,1597
2023,Metropolitana II,1436
2024,Metropolitana II,1450
2010,Noroeste,232
2011,Noroeste,247
2012,Noroeste,237
2013,Noroeste,261
2014,Noroeste,237
2015,Noroeste,212
2016,Noroeste,233
2017,Noroeste,213
2018,Noroeste,174
2019,Noroeste,211
2020,Noroeste,180
2021,Noroeste,185
2022,Noroeste,189
2023,Noroeste,202
2024,Noroeste,188
2010,Norte,583
2011,Norte,534
2012,Norte,502
2013,Norte,502
2014,Norte,482
2015,Norte,481
2016,Norte,535
2017,Norte,490
2018,Norte,502
2019,Norte,573
2020,Norte,499
2021,Norte,520
2022,Norte,578
2023,Norte,563
2024,Norte,528
2010,Serrana,591
2011,Serrana,612
2012,Serrana,578
2013,Serrana,642
2014,Serrana,617
2015,Serrana,545
2016,Serrana,607
2017,Serrana,579
2018,Serrana,649
2019,Serrana,633
2020,Serrana,527
2021,Serrana,509
2022,Serrana,556
2023,Serrana,486
2024,Serrana,445
