sistema,ano,comparacao,z,p_valor,p_bonferroni,p_bonferroni_global
SIH,2010,Baía da Ilha Grande - Baixada Litorânea,0.5954599815568657,0.55153604152370606,1,1
SIH,2010,Baía da Ilha Grande - Centro-Sul,0.31669368445858775,0.751476041395615,1,1
SIH,2010,Baixada Litorânea - Centro-Sul,-0.41033287892728226,0.6815617764391361,1,1
SIH,2010,Baía da Ilha Grande - Médio Paraíba,0.3577761032621534,0.7205108752532459,1,1
SIH,2010,Baixada Litorânea - Médio Paraíba,-0.37609968810419026,0.7068427861833193,1,1
SIH,2010,Centro-Sul - Médio Paraíba,0.05247902624709647,0.9581470069326392,1,1
SIH,2010,Baía da Ilha Grande - Metropolitana I,1.0491542487552337,0.29410713162505403,1,1
SIH,2010,Baixada Litorânea - Metropolitana I,0.6661920831923064,0.5052883325422677,1,1
SIH,2010,Centro-Sul - Metropolitana I,1.0947707975435932,0.2736170631038117,1,1
SIH,2010,Médio Paraíba - Metropolitana I,1.0931648321107057,0.274321434838556,1,1
SIH,2010,Baía da Ilha Grande - Metropolitana II,0.3308109331039692,0.7407873020152501,1,1
SIH,2010,Baixada Litorânea - Metropolitana II,-0.3731250407561832,0.7090553824605832,1,1
SIH,2010,Centro-Sul - Metropolitana II,0.02626365578138189,0.9790470433898727,1,1
SIH,2010,Médio Paraíba - Metropolitana II,-0.023591467923836394,0.9811784778691949,1,1
SIH,2010,Metropolitana I - Metropolitana II,-1.0356654418564146,0.30035824997739874,1,1
SIH,2010,Baía da Ilha Grande - Noroeste,1.1274071397257701,0.25957038177040176,1,1
SIH,2010,Baixada Litorânea - Noroeste,0.7848817997336086,0.4325228740001726,1,1
SIH,2010,Centro-Sul - Noroeste,1.2211555400741918,0.22202713419011685,1,1
SIH,2010,Médio Paraíba - Noroeste,1.2269547914249606,0.21983958319067826,1,1
SIH,2010,Metropolitana I - Noroeste,0.11214102932378676,0.9107115858838088,1,1
SIH,2010,Metropolitana II - Noroeste,1.1566979350050397,0.24739579366826447,1,1
SIH,2010,Baía da Ilha Grande - Norte,0.06241715718942796,0.9502306321381284,1,1
SIH,2010,Baixada Litorânea - Norte,-0.7625516609628795,0.44573082239326056,1,1
SIH,2010,Centro-Sul - Norte,-0.3631629644253144,0.7164831517704129,1,1
SIH,2010,Médio Paraíba - Norte,-0.4293647162138213,0.6676578269913311,1,1
SIH,2010,Metropolitana I - Norte,-1.4414386901463996,0.14946078643077898,1,1
SIH,2010,Metropolitana II - Norte,-0.3795661179548696,0.7042675157025009,1,1
SIH,2010,Noroeste - Norte,-1.569329808436959,0.11657111007563607,1,1
SIH,2010,Baía da Ilha Grande - Serrana,1.4898391885199718,0.13626652426497046,1,1
SIH,2010,Baixada Litorânea - Serrana,1.3425520733259972,0.17941705807381048,1,1
SIH,2010,Centro-Sul - Serrana,1.7857622380524811,0.07413776332183963,1,1
SIH,2010,Médio Paraíba - Serrana,1.8223423177040747,0.06840306097830658,1,1
SIH,2010,Metropolitana I - Serrana,0.6879115589840634,0.4915084770663344,1,1
SIH,2010,Metropolitana II - Serrana,1.702315344527856,0.08869626985464724,1,1
SIH,2010,Noroeste - Serrana,0.586062976662298,0.557833194985196,1,1
SIH,2010,Norte - Serrana,2.121111354910271,0.033912432616937896,1,1
SIH,2011,Baía da Ilha Grande - Baixada Litorânea,-1.179541746905639,0.23818252346984867,1,1
SIH,2011,Baía da Ilha Grande - Centro-Sul,-0.32048642319461895,0.7485996207857036,1,1
SIH,2011,Baixada Litorânea - Centro-Sul,1.2644951983269315,0.2060523430744218,1,1
SIH,2011,Baía da Ilha Grande - Médio Paraíba,-0.5318293426869852,0.5948441980408039,1,1
SIH,2011,Baixada Litorânea - Médio Paraíba,1.0116790059856904,0.3116915566429402,1,1
SIH,2011,Centro-Sul - Médio Paraíba,-0.3090431545662345,0.7572886998746677,1,1
SIH,2011,Baía da Ilha Grande - Metropolitana I,-1.1361808684676498,0.25588087567068235,1,1
SIH,2011,Baixada Litorânea - Metropolitana I,0.10058480030693454,0.919880063104369,1,1
SIH,2011,Centro-Sul - Metropolitana I,-1.2201373602449903,0.22241280786937448,1,1
SIH,2011,Médio Paraíba - Metropolitana I,-0.955563664432435,0.3392927263503332,1,1
SIH,2011,Baía da Ilha Grande - Metropolitana II,-0.22470176588194146,0.8222112907633199,1,1
SIH,2011,Baixada Litorânea - Metropolitana II,1.3638988140262431,0.17259941415423774,1,1
SIH,2011,Centro-Sul - Metropolitana II,0.1331295655125217,0.8940909133590274,1,1
SIH,2011,Médio Paraíba - Metropolitana II,0.4388013033833561,0.6608055158205854,1,1
SIH,2011,Metropolitana I - Metropolitana II,1.323481350527218,0.1856753542057632,1,1
SIH,2011,Baía da Ilha Grande - Noroeste,-0.22638095491833976,0.8209051392418063,1,1
SIH,2011,Baixada Litorânea - Noroeste,1.5012747862269367,0.13328450364635244,1,1
