ano,sistema,eventos
2010,SIH_internacoes,15880
2011,SIH_internacoes,15595
2012,SIH_internacoes,15794
2013,SIH_internacoes,15341
2014,SIH_internacoes,15645
2015,SIH_internacoes,16253
2016,SIH_internacoes,16443
2017,SIH_internacoes,17480
2018,SIH_internacoes,18944
2019,SIH_internacoes,19097
2020,SIH_internacoes,17855
2021,SIH_internacoes,18829
2022,SIH_internacoes,22032
2023,SIH_internacoes,23357
2024,SIH_internacoes,21546
2025,SIH_internacoes,22861
2010,SIM_obitos_causa_basica,10579
2011,SIM_obitos_causa_basica,10219
2012,SIM_obitos_causa_basica,10017
2013,SIM_obitos_causa_basica,9980
2014,SIM_obitos_causa_basica,9617
2015,SIM_obitos_causa_basica,9199
2016,SIM_obitos_causa_basica,9872
2017,SIM_obitos_causa_basica,9565
2018,SIM_obitos_causa_basica,9566
2019,SIM_obitos_causa_basica,9588
2020,SIM_obitos_causa_basica,9204
2021,SIM_obitos_causa_basica,10039
2022,SIM_obitos_causa_basica,10145
2023,SIM_obitos_causa_basica,9917
2024,SIM_obitos_causa_basica,10044
