ano,obitos_causa_basica_cerebrovascular,populacao,taxa_100mil
2010,10560,15989929,66.04156904011268
2011,10177,16112678,63.16144342982588
2012,9996,16231365,61.58446932836518
2013,9957,16369179,60.82772996739787
2014,9591,16461173,58.264377635785735
2015,9185,16550024,55.498408944905464
2016,9854,16635996,59.23300294133275
2017,9553,16718956,57.138735217677464
2018,9555,17159960,55.68194797656871
2019,9574,17264943,55.45341215432914
2020,9180,17366189,52.86133877732184
2021,10015,17463349,57.34867922527346
2022,10132,16055174,63.10738208131534
2023,9901,16637425,59.5104110161278
2024,10029,17219679,58.24150380503609
